,thetas,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: Availability of a well documented library,A_UR: Computer operating system,A_Hardware: Number of workers/kernels for parallel computing,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Availability of a warm-start HP configuration,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG,D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_FABOLAS,D_BOHB,D_HB-LCNet,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: Availability of a well documented library,del_UR: Computer operating system,del_Hardware: Number of workers/kernels for parallel computing,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Availability of a warm-start HP configuration,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
32,1,,"{'medium': 1.0, 'high': 1.0}",,,,,Predictive Maintenance,<200,10.0:100,,,,,1.0:10,,[continuous],,,,,,,,,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.9392953929539295,,,,,0.40255516840882694,1.0567073170731707,1.2076655052264809,,,,,1.6907317073170733,,0.26417682926829267,,,,,,,,,,
33,1,,"{'medium': 1.0, 'high': 1.0}",,,,,Predictive Maintenance,<200,10.0:100,,,,,1.0:10,no,"[continuous, discrete, ordinal, nominal]",,,,,,,,,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.9392953929539295,,,,,0.40255516840882694,1.0567073170731707,1.2076655052264809,,,,,1.6907317073170733,0.09289734655588314,0.7685144124168515,,,,,,,,,,
34,1,,"{'medium': 1.0, 'high': 1.0}",,,,,Predictive Maintenance,<200,10.0:100,,,,,1.0:10,yes,,,,,,,,,,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.9392953929539295,,,,,0.40255516840882694,1.0567073170731707,1.2076655052264809,,,,,1.6907317073170733,0.32514071294559105,,,,,,,,,,,
35,1,,,,,,1,Predictive Maintenance,,,1.0:40,Random Forest,,,4.0:10,no,"[discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Part Failure,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,0.12431850789096126,0.40255516840882694,,,8.453658536585365,0.49727403156384503,,,0.12076655052264808,0.09289734655588314,1.6907317073170733,,,0.20127758420441347,0.1300562851782364,0.20618679357525285,,0.07351007423117709,0.32514071294559105,0.5283536585365853,
36,1,,,,,,1,Predictive Maintenance,,,40.0:700,Random Forest,,,4.0:10,no,"[discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Part Failure,0.00000,0.25000,0.00000,0.00000,0.00000,0.00000,0.25000,0.25000,0.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,0.12431850789096126,0.40255516840882694,,,8.453658536585365,0.49727403156384503,,,0.12076655052264808,0.09289734655588314,1.6907317073170733,,,0.20127758420441347,0.1300562851782364,0.20618679357525285,,0.07351007423117709,0.32514071294559105,0.5283536585365853,
37,1,,,,,,1,Predictive Maintenance,,,700.0:2000,Random Forest,,,4.0:10,no,"[discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Part Failure,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,0.12431850789096126,0.40255516840882694,,,8.453658536585365,0.49727403156384503,,,0.12076655052264808,0.09289734655588314,1.6907317073170733,,,0.20127758420441347,0.1300562851782364,0.20618679357525285,,0.07351007423117709,0.32514071294559105,0.5283536585365853,
38,1,,,,,,1,Predictive Maintenance,,,1.0:1000,Support Vector Machine,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Part Failure,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,0.12431850789096126,0.40255516840882694,,,2.8178861788617886,0.42268292682926834,,,0.12076655052264808,0.09289734655588314,0.9392953929539295,,,0.20127758420441347,0.1300562851782364,0.20618679357525285,,0.07351007423117709,0.32514071294559105,0.5283536585365853,
39,1,,,,,,1,Predictive Maintenance,,,1000.0:10000,Support Vector Machine,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Part Failure,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,0.12431850789096126,0.40255516840882694,,,4.226829268292683,0.42268292682926834,,,0.12076655052264808,0.09289734655588314,0.9392953929539295,,,0.20127758420441347,0.1300562851782364,0.20618679357525285,,0.07351007423117709,0.32514071294559105,0.5283536585365853,
40,1,,,,,,1,Predictive Maintenance,,,10000.0:70000,Support Vector Machine,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Part Failure,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,0.12431850789096126,0.40255516840882694,,,8.453658536585365,0.42268292682926834,,,0.12076655052264808,0.09289734655588314,0.9392953929539295,,,0.20127758420441347,0.1300562851782364,0.20618679357525285,,0.07351007423117709,0.32514071294559105,0.5283536585365853,
41,1,,,,,,1,Predictive Maintenance,,,1.0:50,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Regression,Remaining Useful Lifetime,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,0.12431850789096126,0.40255516840882694,,,8.453658536585365,0.2726986624704957,,,0.12076655052264808,0.09289734655588314,0.36755037115588546,,,0.20127758420441347,0.1300562851782364,0.20618679357525285,,0.07351007423117709,0.46964769647696475,2.1134146341463413,
