,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: Availability of a well documented library,A_UR: Computer operating system,A_Access to parallel computing,A_Production use case,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Availability of a warm-start HP configuration,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG (Gradient based),D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_Fabolas,D_BOHB,D_HB-LCNet,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: Availability of a well documented library,del_UR: Computer operating system,del_Access to parallel computing,del_Production use case,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Availability of a warm-start HP configuration,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
31,,"[medium, high]",,,,no,Predictive Maintenance,<200,10.0:100,,,,,,,>10,no,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,2.273281879518744,,,,0.552960457180235,0.9742636626508901,2.557442114458587,2.9227909879526703,,,,,,,0.8183814766267478,0.2248300759963593,,,,,,,,,,,
32,,"[medium, high]",,,,no,Predictive Maintenance,<200,10.0:100,,,,,,,1.0:10,,[continuous],,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,1.846443319338624,,,,0.44913486146074644,0.7913328511451246,2.077248734255952,2.373998553435374,,,,,,,3.3235979748095237,,0.519312183563988,,,,,,,,,,
33,,"[medium, high]",,,,no,Predictive Maintenance,<200,10.0:100,,,,,,,1.0:10,no,"[continuous, discrete, ordinal, nominal]",,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,1.8644464447432902,,,,0.45351400007269227,0.7990484763185529,2.0975022503362015,2.397145428955659,,,,,,,3.356003600537923,0.1843958022273584,1.5254561820626922,,,,,,,,,,
34,,"[medium, high]",,,,no,Predictive Maintenance,<200,10.0:100,,,,,,,1.0:10,yes,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,1.8878474190583996,,,,0.45920612896015134,0.8090774653107428,2.1238283464406997,2.427232395932228,,,,,,,3.3981253543051197,0.679625070861024,,,,,,,,,,,
35,,,,,,no,Predictive Maintenance,,,1,1.0:40,Random Forest,,,,4.0:10,no,"[discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,1.00000,,,,,,,,,,,,,,,,,,,,,,,0.10766517540104449,0.18969578523041172,,,0.07242929981524811,3.9836114898386463,0.2343300876375674,,,,0.056908735569123514,0.04377595043778732,0.7967222979677293,,,0.09484789261520586,0.06128633061290225,0.09716125584972309,,0.03688529157258005,0.15321582653225563,0.2489757181149154,
36,,,,,,no,Predictive Maintenance,,,1,40.0:700,Random Forest,,,,4.0:10,no,"[discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,0.25000,,,,,0.25000,0.25000,0.25000,,,,,,,,,,,,,,,0.10766517540104449,0.18969578523041172,,,0.07242929981524811,3.9836114898386463,0.2343300876375674,,,,0.056908735569123514,0.04377595043778732,0.7967222979677293,,,0.09484789261520586,0.06128633061290225,0.09716125584972309,,0.03688529157258005,0.15321582653225563,0.2489757181149154,
37,,,,,,no,Predictive Maintenance,,,1,700.0:2000,Random Forest,,,,4.0:10,no,"[discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,1.00000,,,,,,,,,,,,,,,,,0.10766517540104449,0.18969578523041172,,,0.07242929981524811,3.9836114898386463,0.2343300876375674,,,,0.056908735569123514,0.04377595043778732,0.7967222979677293,,,0.09484789261520586,0.06128633061290225,0.09716125584972309,,0.03688529157258005,0.15321582653225563,0.2489757181149154,
38,,,,,,no,Predictive Maintenance,,,1,1.0:1000,Support Vector Machine,,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,1.00000,,,,,,,,,,,,,,,,,,,,,,,0.3328379965108693,0.5864288509953411,,,0.22390919765276662,4.105001956967388,0.6157502935451082,,,,0.17592865529860235,0.13532973484507874,1.3683339856557961,,,0.29321442549767057,0.18946162878311024,0.3003659968512723,,0.114027832137983,0.4736540719577756,0.7696878669313854,
39,,,,,,no,Predictive Maintenance,,,1,1000.0:10000,Support Vector Machine,,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,,,,,,,,,,,0.22041553627625599,0.38835118296292714,,,0.14827954258584491,4.077687421110736,0.40776874211107356,,,,0.11650535488887816,0.08961950376067551,0.90615276024683,,,0.19417559148146357,0.1254673052649457,0.19891158151759686,,0.07551273002056917,0.3136682631623643,0.509710927638842,
40,,,,,,no,Predictive Maintenance,,,1,10000.0:70000,Support Vector Machine,,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,,0.10813503393395689,0.19052363121697163,,,0.0727453864646619,4.000996255556404,0.20004981277782025,,,,0.05715708936509149,0.04396699181930115,0.4445551395062672,,,0.09526181560848582,0.061553788547021614,0.09758527452576597,,0.03704626162552226,0.15388447136755404,0.25006226597227527,
