,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: Availability of a well documented library,A_UR: Computer operating system,A_Hardware: access to parallel computing?,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Availability of a warm-start HP configuration,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG (Gradient based),D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_Fabolas,D_BOHB,D_HB-LCNet,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: Availability of a well documented library,del_UR: Computer operating system,del_Hardware: access to parallel computing?,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Availability of a warm-start HP configuration,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
24,,,,,,yes,Predictive Quality,<600,,8,1.0:7000,Random Forest,yes,yes,,4.0:10,no,[continuous],,,Tabular Data,<1000,,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,0.50000,,,0.50000,,,,,,,0.135145277718132,0.2858842413268177,3.7164951372486303,,0.7432990274497261,7.432990274497261,0.4372347220292506,0.35395191783320284,0.23977387982249226,,0.10618557534996086,0.0816812118076622,0.2322809460780394,,,0.17697595891660142,1.23883171241621,,,0.06882398402312277,0.2858842413268177,0.4645618921560788,Noise in dataset_AI:_1
25,,low,,,,,Predictive Maintenance,,,,,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,1.826086956521739,,,,,0.17391304347826084,,,,,,,,,,,,,,,,,,,,,Training Technique_AI:_1
26,,"[medium, high]",,,,,Predictive Maintenance,,<10,,,,,,,,,,,,,,,,,,,,0.50000,,0.25000,0.25000,,,,,,,,,,,,,,,0.28767123287671237,,,,,0.12328767123287672,,2.589041095890411,,,,,,,,,,,,,,,,,,,ML task_AI:_1
27,,"[medium, high]",,,,,Predictive Maintenance,,>100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,,,0.28767123287671237,,,,,0.12328767123287672,,2.589041095890411,,,,,,,,,,,,,,,,,,,Detailed ML task_AI:_1
28,,"[medium, high]",,,,yes,Predictive Maintenance,,10.0:100,,,,,,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,,1.3898916967509025,,,,0.22743682310469313,0.5956678700361011,,1.787003610108303,,,,,,,,,,,,,,,,,,,
29,,"[medium, high]",,,,no,Predictive Maintenance,>200,10.0:100,,,,,,,,,,,,,,,,,,,,0.50000,,0.25000,0.25000,,,,,,,,,,,,,,,0.41814659347755895,,,,0.10171133354859542,0.1792056829189538,3.7633193412980304,0.5376170487568614,,,,,,,,,,,,,,,,,,,
30,,"[medium, high]",,,,no,Predictive Maintenance,<200,10.0:100,,,,,,,>10,yes,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,1.457565391464439,,,,0.3545429330589177,0.6246708820561883,1.6397610653974943,1.8740126461685649,,,,,,,0.5247235409271982,0.5247235409271982,,,,,,,,,,,
31,,"[medium, high]",,,,no,Predictive Maintenance,<200,10.0:100,,,,,,,>10,no,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,1.541364705174516,,,,0.3749265499073148,0.6605848736462212,1.7340352933213308,1.9817546209386636,,,,,,,0.5548912938628259,0.152442663149128,,,,,,,,,,,
32,,"[medium, high]",,,,no,Predictive Maintenance,<200,10.0:100,,,,,,,1.0:10,,[continuous],,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,1.135666942022574,,,,0.27624331022170723,0.4867144037239603,1.2776253097753958,1.4601432111718808,,,,,,,2.0442004956406334,,0.31940632744384895,,,,,,,,,,
33,,"[medium, high]",,,,no,Predictive Maintenance,<200,10.0:100,,,,,,,1.0:10,no,"[continuous, discrete, ordinal, nominal]",,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,1.176537741789364,,,,0.2861848561109265,0.5042304607668704,1.3236049595130348,1.5126913823006112,,,,,,,2.1177679352208556,0.11636087556158549,0.9626217887367526,,,,,,,,,,
