,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: Availability of a well documented library,A_UR: Computer operating system,A_Hardware: Number of workers/kernels for parallel computing,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Availability of a warm-start HP configuration,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG,D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_FABOLAS,D_BOHB,D_HB-LCNet,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: Availability of a well documented library,del_UR: Computer operating system,del_Hardware: Number of workers/kernels for parallel computing,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Availability of a warm-start HP configuration,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
11,high,high,,,,,Predictive Quality,>100,,1.0:86400,,no,no,,,"[discrete, ordinal, nominal]",,no,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Machine Learning Algorithm_AI:_1
12,high,high,,,,,Predictive Quality,<100,,1.0:86400,,no,no,,,,,no,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Obtainability of good approximate_AI:_1
13,high,high,,,,,Predictive Quality,,,1.0:86400,,no,yes,>10,,"[discrete, ordinal, nominal]",,no,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Supports parallel evaluations_AI:_1
14,high,high,,,,,Predictive Quality,,,1.0:86400,,no,yes,1.0:10,,[continuous],,no,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Dimensionality of HPs_AI:_1
15,,,,,,8,Predictive Quality,<150,,1.0:100,Random Forest,yes,yes,4.0:10,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,1.00000,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Conditional HP space_AI:_1
16,,,,,,8,Predictive Quality,<150,,100.0:4000,Random Forest,yes,yes,4.0:10,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HP datatypes_AI:_1
17,,,,,,1,Predictive Quality,<150,,1.0:100,Random Forest,yes,yes,4.0:10,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,1.00000,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Availability of a warm-start HP configuration_AI:_1
18,,,,,,1,Predictive Quality,<150,,100.0:4000,Random Forest,yes,yes,4.0:10,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Obtainability of gradients_AI:_1
19,,,,,,8,Predictive Quality,<150,,1.0:100,Decision Tree,yes,yes,1.0:3,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,1.00000,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Input Data_AI:_1
20,,,,,,1,Predictive Quality,<150,,1.0:100,Decision Tree,yes,yes,1.0:3,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,1.00000,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,#Instances training dataset_AI:_1
21,,,,,,8,Predictive Quality,<150,,1.0:500,Support Vector Machine,no,yes,4.0:10,yes,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,0.50000,,,0.50000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ratio training to test dataset_AI:_1
22,,,,,,8,Predictive Quality,<150,,>500,Support Vector Machine,no,yes,4.0:10,yes,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Noise in dataset_AI:_1
23,,,,,,8,Predictive Quality,<600,,1.0:6000,XGBoost,yes,yes,4.0:10,yes,"[continuous, discrete, nominal]",,,Tabular Data,<1000,,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,0.50000,,,0.50000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Training Technique_AI:_1
24,,,,,,8,Predictive Quality,<600,,1.0:7000,Random Forest,yes,yes,4.0:10,no,[continuous],,,Tabular Data,<1000,,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,0.50000,,,0.50000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ML task_AI:_1
25,,medium,,,,,Predictive Maintenance,,,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Detailed ML task_AI:_1
26,,"{'medium': 1.0, 'high': 1.0}",,,,,Predictive Maintenance,,<10,,,,,,,,,,,,,,,,,,0.50000,,0.25000,0.25000,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
27,,"{'medium': 1.0, 'high': 1.0}",,,,,Predictive Maintenance,,>100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
28,,"{'medium': 1.0, 'high': 1.0}",,,,,Predictive Maintenance,,10.0:100,,,,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
29,,"{'medium': 1.0, 'high': 1.0}",,,,,Predictive Maintenance,>200,10.0:100,,,,,,,,,,,,,,,,,,0.50000,,0.25000,0.25000,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
30,,"{'medium': 1.0, 'high': 1.0}",,,,,Predictive Maintenance,<200,10.0:100,,,,,>10,yes,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
31,,"{'medium': 1.0, 'high': 1.0}",,,,,Predictive Maintenance,<200,10.0:100,,,,,>10,no,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
32,,"{'medium': 1.0, 'high': 1.0}",,,,,Predictive Maintenance,<200,10.0:100,,,,,1.0:10,,[continuous],,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
33,,"{'medium': 1.0, 'high': 1.0}",,,,,Predictive Maintenance,<200,10.0:100,,,,,1.0:10,no,"[continuous, discrete, ordinal, nominal]",,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
34,,"{'medium': 1.0, 'high': 1.0}",,,,,Predictive Maintenance,<200,10.0:100,,,,,1.0:10,yes,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
35,,,,,,1,Predictive Maintenance,,,1.0:40,Random Forest,,,4.0:10,no,"[discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,1.00000,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
36,,,,,,1,Predictive Maintenance,,,40.0:700,Random Forest,,,4.0:10,no,"[discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,0.25000,,,,,0.25000,0.25000,0.25000,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
37,,,,,,1,Predictive Maintenance,,,700.0:2000,Random Forest,,,4.0:10,no,"[discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,1.00000,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
38,,,,,,1,Predictive Maintenance,,,1.0:1000,Support Vector Machine,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,1.00000,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
39,,,,,,1,Predictive Maintenance,,,1000.0:10000,Support Vector Machine,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
40,,,,,,1,Predictive Maintenance,,,10000.0:70000,Support Vector Machine,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,0.50000,0.50000,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
41,,,,,,1,Predictive Maintenance,,,1.0:50,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Regression,Prediction of Remaining Useful Lifetime,1.00000,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
42,,,,,,1,Predictive Maintenance,,,50.0:2000,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Regression,Prediction of Remaining Useful Lifetime,,0.25000,,,,,0.25000,0.25000,0.25000,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
43,,,,,,1,Predictive Maintenance,,,1.0:100,Support Vector Machine,,,1.0:3,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Regression,Prediction of Remaining Useful Lifetime,1.00000,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
44,,,,,,1,Predictive Maintenance,,,100.0:10000,Support Vector Machine,,,1.0:3,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Regression,Prediction of Remaining Useful Lifetime,,,,,,,,1.00000,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
45,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25000,0.25000,0.25000,,,,,,,,0.25000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
46,,,,,,,,,,,,,,>10,,,,,,,,,,,,,,,,,,0.25000,0.25000,,,,,,0.25000,,,0.25000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
47,,,,,,,,,,,,,,,yes,"[continuous, discrete, ordinal, nominal]",,,,,,,,,,,0.16667,0.16667,,,,0.16667,0.16667,,,,,,0.16667,,,0.16667,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
48,,,,,,,,,,1.0:86400,,,,,,,,,,,,,,,,,0.33333,,,,,,,,,,,,0.33333,,,0.33333,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
49,,,,,,1,Process Parameter Prediction,,,1.0:200,XGBoost,,,4.0:10,no,"[continuous, discrete]",,,Tabular Data,>100000,1.0:4,,Offline,Regression,Time Series Prediction,1.00000,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
50,,,,,,1,Process Parameter Prediction,,,200.0:2000,XGBoost,,,4.0:10,no,"[continuous, discrete]",,,Tabular Data,>100000,1.0:4,,Offline,Regression,Time Series Prediction,,0.33333,,,,,0.33333,0.33333,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
51,,,,,,1,Process Parameter Prediction,,,>2000,XGBoost,,,4.0:10,no,"[continuous, discrete]",,,Tabular Data,>100000,1.0:4,,Offline,Regression,Time Series Prediction,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
52,,,,,,1,Process Parameter Prediction,,,1.0:2000,Random Forest,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,>100000,1.0:4,,Offline,Regression,Time Series Prediction,,,,,,,1.00000,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
53,,,,,,1,Process Parameter Prediction,,,2000.0:5000,Random Forest,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,>100000,1.0:4,,Offline,Regression,Time Series Prediction,,,,,,,0.33333,0.33333,0.33333,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
54,,,,,,1,Process Parameter Prediction,,,5000.0:10000,Random Forest,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,>100000,1.0:4,,Offline,Regression,Time Series Prediction,,,,,,,1.00000,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
55,,,,,,1,Process Parameter Prediction,,,>10000,Random Forest,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,>100000,1.0:4,,Offline,Regression,Time Series Prediction,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
56,,,,,,1,,<2,36000,1.0:72000,Latent Dirichlet Allocation (HPOlib),,,1.0:3,no,[continuous],,,Text Data,,,,Offline,Text,Text,,,,,,,,,1.00000,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
57,,,,,,1,,2.0:10,36000,72000.0:360000,Latent Dirichlet Allocation (HPOlib),,,1.0:3,no,[continuous],,,Text Data,,,,Offline,Text,Text,,,,,,,0.50000,,0.50000,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
58,,,,,,1,,>10,36000,>360000,Latent Dirichlet Allocation (HPOlib),,,1.0:3,no,[continuous],,,Text Data,,,,Offline,Text,Text,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
59,,,,,,1,,<2,60,1.0:120,Logistic Regression,,,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.33333,0.33333,0.33333,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
60,,,,,,1,,2.0:50,60,120.0:3000,Logistic Regression,,,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,1.00000,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
61,,,,,,1,,>50,60,>3000,Logistic Regression,,,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
62,,,,,,1,,<10,60,1.0:600,Logistic Regression,,,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.33333,0.33333,0.33333,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
63,,,,,,1,,10.0:100,60,600.0:6000,Logistic Regression,,,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,1.00000,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
64,,,,,,1,,>100,60,>6000,Logistic Regression,,,4.0:10,no,"[continuous, discrete]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
65,,,,,,2,,<2,720,1.0:2880,Multilayer Perceptron,,,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,1.00000,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
66,,,,,,2,,2.0:20,720,2880.0:28800,Multilayer Perceptron,,,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.50000,0.50000,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
67,,,,,,2,,20.0:200,720,28800.0:288000,Multilayer Perceptron,,,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.33333,0.33333,0.33333,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
68,,,,,,2,,<10,720,1.0:14400,Multilayer Perceptron,,,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,1.00000,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
69,,,,,,2,,10.0:100,720,14400.0:144000,Multilayer Perceptron,,,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.50000,0.50000,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
70,,,,,,2,,100.0:500,720,14400.0:720000,Multilayer Perceptron,,,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,1.00000,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
71,,,,,,2,,<2,720,1.0:2880,Multilayer Perceptron,,,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,1.00000,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
72,,,,,,2,,2.0:50,720,2880.0:72000,Multilayer Perceptron,,,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.50000,0.50000,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
73,,,,,,2,,50.0:200,720,72000.0:288000,Multilayer Perceptron,,,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.33333,0.33333,0.33333,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
74,,,,,,2,,<5,720,1.0:7200,Multilayer Perceptron,,,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,Offline,Multiclass Classification,Image Recognition,,,,,,,1.00000,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
