,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: robustness of the model,A_UR: scalability of the model,A_UR: Availability of a well documented library,A_UR: HPO or use of default values?,A_UR: Computer operating system,A_Hardware: access to parallel computing?,A_Hardware: access to high computing performance,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Feature characteristics,A_Number of features,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Decision Tree,D_Random Forest,D_kNN,"D_LinReg (Ridge, Lasso, Elastic Net)",D_Logistic Regression,"D_Support Vector Machine (SVR, SVC)",D_Naive Bayes Classifier,D_XGBoost,D_Multilayer Perceptron,D_Deep NN,D_Convolutional NN,D_LSTMs,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: robustness of the model,del_UR: scalability of the model,del_UR: Availability of a well documented library,del_UR: HPO or use of default values?,del_UR: Computer operating system,del_Hardware: access to parallel computing?,del_Hardware: access to high computing performance,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Feature characteristics,del_Number of features,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
83,high,,,,,,,,,,,,,,,Tabular data,,,,,,,,,,,,,,,,1,,,,,25.99999999999996,,,,,,,,,,,,,,,27.99999999999996,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,Time Series Prediction,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,,0.125,
85,,,,,,,,,,,,,,,,,,,,,,,,Time Series Prediction,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,,0.125,
86,high,medium,no,,,yes,,Windows,,yes,yes,,>200,,>172800,Tabular data,>1000000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Regression,Time Series Prediction,0.25,0.25,,,,,,0.25,,,,0.25,0.8829440573934749,2.060202800584775,1.236121680350865,,,2.47224336070173,,3.090304200877162,,0.8829440573934749,2.060202800584775,,4.12040560116955,,4.12040560116955,0.9508628310391269,3.090304200877162,2.060202800584775,2.060202800584775,1.7658881147869498,2.47224336070173,,1.0301014002923874,1.545152100438581,
87,low,medium,no,,,yes,,Windows,,yes,yes,,,,7200.0:172800,Tabular data,1000.0:10000,2.0:9,"[continuous, discrete, nominal]",<100,no,,Binary Classification,Time Series Prediction,,0.3,,,0.3,,,0.3,,,,,0.9040185051852896,0.7533487543210745,0.4520092525926448,,,0.9040185051852896,,1.1300231314816118,,0.3228637518518891,0.7533487543210745,,,,1.506697508642149,0.3476994250712652,2.2600462629632236,0.7533487543210745,0.7533487543210745,0.6457275037037782,4.520092525926447,,1.506697508642149,0.5650115657408059,
88,low,medium,no,,,yes,,Windows,,yes,yes,,,,>172800,Tabular data,>1000000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Multiclass Classification,,,0.5,,,,,,0.5,,,,,2.6127763064974525,2.177313588747877,1.3063881532487263,,,2.6127763064974525,,3.2659703831218154,,0.9331343951776615,2.177313588747877,,,,4.354627177495754,1.0049139640374818,3.2659703831218154,2.177313588747877,2.177313588747877,1.866268790355323,2.6127763064974525,,4.354627177495754,,
89,high,medium,no,,,yes,,linux,,yes,yes,,,,7200.0:172800,Tabular data,>1000000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Multiclass Classification,,,0.5,,,,,,0.5,,,,,0.3236261020095997,0.7551275713557326,0.4530765428134396,,,0.9061530856268792,,4.530765428134396,,0.3236261020095997,0.7551275713557326,,,,1.5102551427114652,0.3485204175487997,1.132691357033599,0.7551275713557326,0.7551275713557326,0.6472522040191994,0.9061530856268792,,1.5102551427114652,,
90,high,medium,no,,,no,,Windows,,yes,yes,,>200,,7200.0:172800,Tabular data,1000.0:10000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Binary Classification,,0.14,0.14,0.14,,0.14,0.14,,0.14,0.14,,,,0.6000704885660991,1.400164473320898,0.8400986839925388,,,2.800328946641796,,2.100246709981347,,0.6000704885660991,1.400164473320898,,2.800328946641796,,2.800328946641796,0.6462297569173376,4.200493419962694,1.400164473320898,1.400164473320898,1.2001409771321983,1.6801973679850777,,2.800328946641796,,
91,high,high,no,,,yes,,Linux,,yes,yes,,>200,,>172800,Tabular data,>1000000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Regression,Time Series Prediction,,0.33,,,,0.33,,0.33,,,,,0.3384400501190974,0.9476321403334729,0.47381607016673644,,,0.9476321403334729,,4.738160701667364,,0.3384400501190974,0.789693450277894,,1.579386900555788,,1.579386900555788,0.36447390012825875,1.184540175416841,0.789693450277894,0.789693450277894,0.6768801002381948,0.9476321403334729,,0.394846725138947,0.5922700877084205,
92,,,,,,,Default values,,,,,,,,,,,,,,,,,,,0.5000,,,,,,0.5000,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,
