,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: Availability of a well documented library,A_UR: Computer operating system,A_Access to parallel computing,A_Production use case,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Availability of a warm-start HP configuration,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Dataset balance,A_Ratio positive to negative targets,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG (Gradient based),D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_Fabolas,D_BOHB,D_HB-LCNet,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: Availability of a well documented library,del_UR: Computer operating system,del_Access to parallel computing,del_Production use case,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Availability of a warm-start HP configuration,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Dataset balance,del_Ratio positive to negative targets,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
72,,,,,,yes,,2.0:50,720,2,2880.0:72000,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,,,0.1124340349276051,,1.386686430773796,0.346671607693449,0.346671607693449,4.160059292321389,0.13419546104262545,,,0.16000228047389958,0.16640237169285554,0.16640237169285554,0.1808721431444082,,,0.07849168476078092,0.06400091218955983,0.1808721431444082,,,,0.03851906752149434,0.06400091218955983,0.07428677307716765,
73,,,,,,yes,,50.0:200,720,2,72000.0:288000,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.33333,0.33333,0.33333,,,,,,,,,,,,,,,0.10686924912865621,,1.9770811088801397,0.32951351814668994,0.32951351814668994,3.9541622177602793,0.12755361992775094,,,0.15208316222154922,0.15816648871041117,0.15816648871041117,0.17192009642435996,,,0.07460683429736376,0.06083326488861969,0.17192009642435996,,,,0.036612613127409994,0.06083326488861969,0.07061003960286213,
74,,,,,,yes,,<5,720,2,1.0:7200,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,1.00000,,,,,,,,,,,,,,,,,0.17464034201778844,,3.230846327329086,0.538474387888181,0.538474387888181,3.230846327329086,0.2084416985373604,,,0.24852664056377588,0.2584677061863269,0.2584677061863269,0.2809431588981814,,,0.12191872933317306,0.09941065622551035,0.2809431588981814,,,,0.05983048754313122,0.09941065622551035,0.11538736883318164,
75,,,,,,yes,,5.0:50,720,2,7200.0:72000,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,,,0.08462007592312563,,3.130942809155648,0.26091190076297066,0.26091190076297066,3.130942809155648,0.10099815513405316,,,0.12042087727521725,0.12523771236622594,0.12523771236622594,0.1361279482241586,,,0.059074392625578266,0.0481683509100869,0.1361279482241586,,,,0.02899021119588563,0.0481683509100869,0.05590969302063657,
76,,,,,,yes,,50.0:500,720,2,72000.0:720000,Multilayer Perceptron,,,yes,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,1.00000,,,,,,,,,,,,,,,,,0.08462007592312563,,3.130942809155648,0.26091190076297066,0.26091190076297066,3.130942809155648,0.10099815513405316,,,0.12042087727521725,0.12523771236622594,0.12523771236622594,0.1361279482241586,,,0.059074392625578266,0.0481683509100869,0.1361279482241586,,,,0.02899021119588563,0.0481683509100869,0.05590969302063657,
77,,,,,,,,<5,,,,Deep Neural Net,,,yes,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,,,,3.6985866610177234,,,,1.4794346644070895,,,0.2845066662321326,0.2958869328814179,0.2958869328814179,0.3216162313928455,,,0.13956930796293296,0.11380266649285303,0.3216162313928455,,,,0.06849234557440229,0.11380266649285303,0.13209238075063298,
78,,,,,,,,2.0:50,,,,Deep Neural Net,,,yes,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,,,,,3.556978067562208,,,,2.1341868405373248,,,0.41042054625717783,0.4268373681074649,0.4268373681074649,0.4639536609863749,,,0.20133838118276648,0.16416821850287114,0.4639536609863749,,,,0.09880494632117243,0.16416821850287114,0.19055239647654684,
79,,,,,,,,50.0:200,,,,Deep Neural Net,,,yes,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.33333,0.33333,0.33333,,,,,,,,,,,,,,,,,3.6985866610177234,,,,1.4794346644070895,,,0.2845066662321326,0.2958869328814179,0.2958869328814179,0.3216162313928455,,,0.13956930796293296,0.11380266649285303,0.3216162313928455,,,,0.06849234557440229,0.11380266649285303,0.13209238075063298,
80,,,,,,,,<10,,,,Deep Neural Net,,,yes,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.33333,0.33333,0.33333,,,,,,,,,,,,,,,,,3.556978067562208,,,,2.1341868405373248,,,0.41042054625717783,0.4268373681074649,0.4268373681074649,0.4639536609863749,,,0.20133838118276648,0.16416821850287114,0.4639536609863749,,,,0.09880494632117243,0.16416821850287114,0.19055239647654684,
81,,,,,,,,10.0:200,,,,Deep Neural Net,,,yes,>10,yes,"[continuous, discrete, nominal]",,,Image Data,1000.0:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,,,,,3.7211323498050994,,,,0.7442264699610199,,,0.14312047499250383,0.14884529399220398,0.14884529399220398,0.16178836303500432,,,0.07021004433594527,0.057248189997001535,0.16178836303500432,,,,0.03445492916486203,0.057248189997001535,0.06644879196080535,
