;;User specific;;;;;;;;;;;;;Production;;;Time Resources;;;;;;;Machine Learning Algorithm;;;;;;;;;;;;;;;;;Machine Learning Task;;;;;;;;;;;;;;;;Model-free, Full evaluation;;;;;Model-based, Full evaluation;;;;;;Model-free, Multi-fidelity;;;Model-based, Multi-fidelity;;;;total n of HPO techniques analyzed;;;;;;;;;
Rule ID;thetas;UR: quality demands;1;User's programming ability;1;UR: need for model transparency;1;UR: Availability of a well documented library;1;UR: Computer operating system;1;Hardware: Number of workers/kernels for parallel computing;1;;Production application area;1;;Number of maximum function evaluations/ trials budget;1;Running time per trial [s];1;Total Computing Time [s];1;;Machine Learning Algorithm;1;Obtainability of good approximate;1;Supports parallel evaluations;1;Dimensionality of HPs;1;Conditional HP space;1;HP datatypes;1;Availability of a warm-start HP configuration;1;Obtainability of gradients;1;;Input Data;1;#Instances training dataset;1;Ratio training to test dataset;1;Noise in dataset;1;Training Technique;1;ML task;1;Detailed ML task;1;Rule ID;Default Values;Random Search;Grid Search;CMA-ES;PBT;HOAG;SMAC;TPE;GPBO;MTBO;BOHAMIANN;DNGO;SHA;HB;ASHA;FABOLAS;BOHB;HB-LCNet;;18;;;;;;;;;
;;0,0417;24;0,0313;32;0,0769;13;0,0769;13;0,1429;7;0,0082;122;;0,0175;57;;0,0145;69;0,0286;35;0,0063;159;;0,0085;117;0,0270;37;0,0270;37;0,0078;129;0,0086;116;0,0077;130;1,0000;1;0,1667;6;;;105;0,0114;88;0,0120;83;0,0500;20;0,0083;121;0,0086;116;0,0108;93;;25,89;13,73;7,14;13,08;11,02;2,21;28,52;20,09;23,40;2,66;9,77;3,63;10,57;21,21;9,88;5,49;27,33;4,37;;;;;;;;;;;
98;1;;;;;;;;;;;1;0,00820;;;;;;;;;4000.0:100000;0,00629;;Multilayer Perceptron;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;98;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,33333;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,00000;;;;;;;;;;;
99;1;;;;;;;;;;;1;0,00820;;;;;;;;;1.0:1000;0,00629;;Multilayer Perceptron;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;99;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,00000;0,00000;0,33333;0,33333;;;;;;;;;;;
100;1;;;;;;;;;;;1;0,00820;;;;;;;;;1000.0:10000;0,00629;;Multilayer Perceptron;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;100;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;;;;;;;;;;;
101;1;;;;;;;;;;;1;0,00820;;;;;;;;;1.0:1000;0,00629;;Multilayer Perceptron;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Tabular Data;0,00952;;;;;;;Offline;0,00826;Binary Classification;0,00862;;;101;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33000;0,00000;0,00000;0,33000;0,33000;;;;;;;;;;;
102;1;;;;;;;;;;;1;0,00820;;;;;;;;;1000.0:100000;0,00629;;Multilayer Perceptron;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Tabular Data;0,00952;;;;;;;Offline;0,00826;Binary Classification;0,00862;;;102;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;;;;;;;;;;;
103;1;;;;;;;;;;;;;;;;;<100;0,01449;;;;;;Support Vector Machine;0,00855;;;;;1.0:3;0,00775;no;0,00862;[continuous];0,00769;;;;;;;;;;;;no;0,05000;Offline;0,00826;Multiclass Classification;0,00862;;;103;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;Klein2019;;;;;;;;
104;1;;;;;;;;;;;;;;;;;<40;0,01449;;;;;;Support Vector Machine;0,00855;;;;;1.0:3;0,00775;no;0,00862;[continuous];0,00769;;;;;;;;;;;;yes;0,05000;Offline;0,00826;Multiclass Classification;0,00862;;;104;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
105;1;;;;;;;;;;;;;;;;;40.0:100;0,01449;;;;;;Support Vector Machine;0,00855;;;;;1.0:3;0,00775;no;0,00862;[continuous];0,00769;;;;;;;;;;;;yes;0,05000;Offline;0,00826;Multiclass Classification;0,00862;;;105;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
106;1;;;;;;;;;;;;;;;;;<50;0,01449;;;;;;Multilayer Perceptron;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;;;;;;;no;0,05000;Offline;0,00826;Multiclass Classification;0,00862;;;106;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
107;1;;;;;;;;;;;;;;;;;50.0:100;0,01449;;;;;;Multilayer Perceptron;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;;;;;;;no;0,05000;Offline;0,00826;Multiclass Classification;0,00862;;;107;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
108;1;;;;;;;;;;;;;;;;;<100;0,01449;;;;;;Multilayer Perceptron;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;;;;;;;yes;0,05000;Offline;0,00826;Multiclass Classification;0,00862;;;108;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
109;1;;;;;;;;;;;;;;;;;<30;0,01449;;;;;;XGBoost;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;;;;;;;no;0,05000;Offline;0,00826;Regression;0,00862;;;109;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
110;1;;;;;;;;;;;;;;;;;30.0:100;0,01449;;;;;;XGBoost;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;;;;;;;no;0,05000;Offline;0,00826;Regression;0,00862;;;110;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
111;1;;;;;;;;;;;;;;;;;<30;0,01449;;;;;;XGBoost;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;;;;;;;yes;0,05000;Offline;0,00826;Regression;0,00862;;;111;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
112;1;;;;;;;;;;;;;;;;;30.0:100;0,01449;;;;;;XGBoost;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;;;;;;;yes;0,05000;Offline;0,00826;Regression;0,00862;;;112;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
113;1;;;;;;;;;;;17;0,00820;;;;;<200;0,01449;1800;0,02857;1.0:360000;0,00629;;Convolutional Neural Net;0,00855;;;;;>10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;113;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;Loshchilov2016;;;;;;;;
114;1;;;;;;;;;;;17;0,00820;;;;;200.0:1000;0,01449;1800;0,02857;360000.0:1800000;0,00629;;Convolutional Neural Net;0,00855;;;;;>10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;114;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
115;1;;;;;;;;;;;;;;;;;<200;0,01449;;;;;;Synthetic Function;0,00855;;;;;1.0:3;0,00775;no;0,00862;[continuous];0,00769;;;;;;;;;;;;;;Offline;0,00826;;;Synthetic Function;0,01075;115;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,00000;0,33333;0,33333;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;Springenberg2016;;;;;;;;
116;1;;;;;;;;;;;;;;;;;<200;0,01449;;;;;;Synthetic Function;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous];0,00769;;;;;;;;;;;;;;Offline;0,00826;;;Synthetic Function;0,01075;116;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,00000;0,33333;0,33333;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
117;1;;;;;;;;;;;;;;;;;<100;0,01449;;;;;;Logistic Regression;0,00855;;;;;4.0:10;0,00775;no;0,00862;[continuous];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;117;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,00000;0,00000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
118;1;;;;;;;;;;;;;;;;;<50;0,01449;;;;;;Latent Dirichlet Allocation (HPOlib);0,00855;;;;;1.0:3;0,00775;no;0,00862;[discrete];0,00769;;;;;;Text Data;0,00952;;;;;;;Offline;0,00826;Text;0,00862;;;118;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,00000;0,00000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
119;1;;;;;;;;;;;;;;;;;<100;0,01449;;;;;;Support Vector Machine;0,00855;;;;;1.0:3;0,00775;no;0,00862;[discrete];0,00769;;;;;;Tabular Data;0,00952;;;;;;;Offline;0,00826;Multiclass Classification;0,00862;;;119;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,25000;0,00000;0,25000;0,00000;0,25000;0,25000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
120;1;;;;;;;;;;;;;;;;;<50;0,01449;;;;;;Support Vector Machine;0,00855;;;;;1.0:3;0,00775;no;0,00862;[discrete];0,00769;;;;;;Tabular Data;0,00952;<1000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;;;120;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
121;1;;;;;;;;;;;;;;;;;>50;0,01449;;;;;;Support Vector Machine;0,00855;;;;;1.0:3;0,00775;no;0,00862;[discrete];0,00769;;;;;;Tabular Data;0,00952;<1000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;;;121;0,00000;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;;;;;;;;;;
122;1;;;;;;;;;;;;;;;;;<50;0,01449;;;;;;Random Forest;0,00855;;;;;4.0:10;0,00775;no;0,00862;[discrete, nominal];0,00769;;;;;;Tabular Data;0,00952;<1000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Binary Classification;0,00862;;;122;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
123;1;;;;;;;;;;;;;;;;;>50;0,01449;;;;;;Random Forest;0,00855;;;;;4.0:10;0,00775;no;0,00862;[discrete, nominal];0,00769;;;;;;Tabular Data;0,00952;<1000;0,01136;1.0:4;0,01205;;;Offline;0,00826;Binary Classification;0,00862;;;123;0,00000;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;;;;;;;;;;
124;1;;;;;;;;;;;8;0,00820;;;;;;;;;1.0:100000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;4.0:10;0,00775;no;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;124;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
125;1;;;;;;;;;;;8;0,00820;;;;;;;;;100000.0:250000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;4.0:10;0,00775;no;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;125;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
126;1;;;;;;;;;;;8;0,00820;;;;;;;;;>250000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;4.0:10;0,00775;no;0,00862;[continuous, discrete, nominal];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;126;0,00000;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;only the ones that are parallelizable!;;;;;;;;;
127;1;;;;;;;;;;;1;0,00820;;;;;;;;;1.0:150000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;127;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,25000;0,25000;0,25000;0,00000;0,25000;0,00000;;;Li2018;;;;;;;;
128;1;;;;;;;;;;;1;0,00820;;;;;;;;;>150000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;128;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,25000;0,25000;0,25000;0,00000;0,25000;0,00000;;;;;;;;;;;
129;1;;;;;;;;;;;1;0,00820;;;;;;;;;1.0:30000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;129;0,00000;0,00000;0,00000;0,00000;0,25000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,25000;0,25000;0,25000;0,00000;0,00000;0,00000;;;;;;;;;;;
130;1;;;;;;;;;;;1;0,00820;;;;;;;;;30000.0:90000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;130;0,00000;0,00000;0,00000;0,00000;0,20000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,20000;0,20000;0,20000;0,00000;0,20000;0,00000;;;;;;;;;;;
131;1;;;;;;;;;;;1;0,00820;;;;;;;;;>90000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;131;0,00000;0,00000;0,00000;0,00000;0,25000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,25000;0,00000;0,25000;0,00000;0,25000;0,00000;;;;;;;;;;;
132;1;;;;;;;;;;;25;0,00820;;;;;;;;;1.0:60000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;132;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
133;1;;;;;;;;;;;25;0,00820;;;;;;;;;60000.0:90000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;133;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
134;1;;;;;;;;;;;25;0,00820;;;;;;;;;>90000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;134;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,33333;0,00000;0,33333;0,00000;0,33333;0,00000;;;;;;;;;;;
135;1;;;;;;;;;;;25;0,00820;;;;;;;;;1.0:150000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;135;0,00000;0,00000;0,00000;0,00000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,00000;0,00000;0,00000;;;;;;;;;;;
136;1;;;;;;;;;;;25;0,00820;;;;;;;;;>150000;0,00629;;Convolutional Neural Net;0,00855;;;yes;0,02703;4.0:10;0,00775;no;0,00862;[continuous, discrete];0,00769;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;Offline;0,00826;Multiclass Classification;0,00862;Image Recognition;0,01075;136;0,00000;0,00000;0,00000;0,00000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,00000;0,00000;0,00000;;;;;;;;;;;
137;1;;;;;;;;;;;;;;;;;;;;;;;;;;yes;0,02703;;;;;;;;;;;;;;;;;;;;;;;;;;;;137;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;;;Hutter2019;;;;;;;;
138;1;;;;;;;;;;;;;;;;;;;;;1.0:86400;0,00629;;;;no;0,02703;;;;;no;0,00862;[continuous];0,00769;;;;;;;;;;;;;;;;;;;;138;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
139;1;;;;;;;;;;;;;;;;;;;;;;;;;;no;0,02703;;;>10;0,00775;yes;0,00862;;;;;;;;;;;;;;;;;;;;;;139;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,50000;0,50000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
140;1;;;;;;;;;;;;;;;;;;;;;>86400;0,00629;;;;yes;0,02703;;;;;;;[continuous];0,00769;;;;;;;;;;;;;;;;;;;;140;0,00000;0,00000;0,00000;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
141;1;;;;;;;;;;;;;;;;;;;;;.0;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;141;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;KEL;;;;;;;;
142;1;;;;;;;;;;;;;;;;;;;;;.0;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;142;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
143;1;;;;;;;;;;;;;;;;;;;;;.0;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
144;1;;;;;;;;;;;;;;;;;;;;;.0;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
145;1;;;;;;;;;;;;;;;;;;;;;.0;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;145;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
146;1;;;;;;;;;;;;;;;;;;;;;.0;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;146;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
147;1;;;;;;;;;;;;;;;;;;;;;.0;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;147;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;;;;;;;;;;;
148;1;;;;;;;;;;;;;;;;;;;;;1.0:7200;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;148;0,20000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,20000;0,20000;0,20000;0,00000;0,20000;0,00000;;;;;speed very dependent on ML model training time;;;;;;
149;1;;;;;;;;;;;;;;;;;;;;;1.0:7200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;149;0,20000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,20000;0,20000;0,20000;0,00000;0,00000;0,00000;;;;;;;;;;;
150;1;;;;;;;;;;;;;;;;;;;;;1.0:7200;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;0,20000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,20000;0,20000;0,20000;0,00000;0,00000;0,00000;;;;;;;;;;;
151;1;;;;;;;;;;;;;;;;;;;;;1.0:7200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;151;0,20000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,20000;0,20000;0,20000;0,00000;0,00000;0,00000;;;;;;;;;;;
152;1;;;;;;;;;;;;;;;;;;;;;1.0:7200;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152;0,20000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,20000;0,20000;0,20000;0,00000;0,00000;0,00000;;;;;;;;;;;
153;1;;;;;;;;;;;;;;;;;;;;;1.0:7200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;153;0,20000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,20000;0,20000;0,20000;0,00000;0,00000;0,00000;;;;;;;;;;;
154;1;;;;;;;;;;;;;;;;;;;;;1.0:7200;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;154;0,16667;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,16667;0,16667;0,16667;0,16667;0,16667;0,00000;;;;;speed very dependent on ML model training time, fabolas equally fast as bohb and hb;;;;;;
