Rule ID;;UR: quality demands;1;User's programming ability;1;Access to parallel computing;1;;Production use case;1;;Time Resources;1;Number of maximum function evaluations/ trials budget;1;Wall Clock Time [s];1;Running time per trial [s];1;Number of kernels used;1;Total Computing Time [s];1;;Machine Learning Algorithm;1;Obtainability of good approximate;1;Supports parallel evaluations;1;Usage of one-hot encoding for cat. features;1;Dimensionality of HPs;1;Conditional HP space;1;HP datatypes;1;Obtainability of gradients;1;;Input Data;1;Dataset (name);1;#Instances training dataset;1;Ratio training to test dataset;1;Dataset balance;1;Ratio positive to negative targets;1;Noise in dataset;1;Training Technique;1;ML Task;1;Detailed ML task;1;Rule ID;Default Values;Random Search;Grid Search;CMA-ES (Pop-based);PBT;Population based;Gradient based;SMAC;TPE;BO-Gaussian Processes;BO-MTBO;BO-BOHAMIANN;BO - DNGO;SHA;HB-Hyperband;ASHA;BO-Fabolas;BOHB;HB-LCNet;Approximation based;;20;;
;;0,0667;15;0,0455;22;0,0185;54;;0,0196;51;;0,0625;16;0,0145;69;0,0175;57;0,0313;32;0,0119;84;0,0100;100;;0,0093;108;0,0500;20;0,0294;34;0,0303;33;0,0084;119;0,0087;115;0,0083;121;0,2000;5;;;96;0,0093;108;0,0128;78;0,0132;76;0,0625;16;0,0714;14;0,1000;10;0,0093;108;0,0094;106;0,0114;88;;8,00;4,96;0,80;4,63;3,33;4,63;1,63;22,71;16,63;20,50;2,08;9,05;3,05;2,16;7,61;4,16;3,25;15,36;2,29;2,13;;;;
114;;;;;;yes;0,01852;;;;;;;200:1000;0,01449;;;1800;0,03125;17;0,01190;360000:1800000;0,01000;;Convolutional Neural Net;0,00926;;;;;;;>10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;MNIST (OpenML);0,00926;1000:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;114;;;;1,00000;;;;;;;;;;;;;;;;;;;;
115;;;;;;;;;;;;;;<200;0,01449;;;;;;;;;;Synthetic Function;0,00926;;;;;;;[1, 2, 3];0,00840;no;0,00870;[continuous];0,00826;;;;;;Branin (HPOlib);0,00926;;;;;;;;;;;Offline;0,00926;;;Synthetic Function;0,01136;115;;;;;;;;;;0,33333;;0,33333;0,33333;;;;;;;;;;Springenberg2016;
116;;;;;;;;;;;;;;<200;0,01449;;;;;;;;;;Synthetic Function;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous];0,00826;;;;;;Hartmann6d (HPOlib);0,00926;;;;;;;;;;;Offline;0,00926;;;Synthetic Function;0,01136;116;;;;;;;;;;0,33333;;0,33333;0,33333;;;;;;;;;;;
117;;;;;;;;;;;;;;<100;0,01449;;;;;;;;;;Logistic Regression;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous];0,00826;;;;Image Data;0,01042;MNIST (OpenML);0,00926;1000:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;117;;;;;;;;;;0,50000;;;0,50000;;;;;;;;;;;
118;;;;;;;;;;;;;;<50;0,01449;;;;;;;;;;Latent Dirichlet Allocation (HPOlib);0,00926;;;;;;;[1, 2, 3];0,00840;no;0,00870;[discrete];0,00826;;;;Text Data;0,01042;wikipedia articles;0,00926;;;;;;;;;;;Offline;0,00926;Text;0,00943;;;118;;;;;;;;;;0,50000;;;0,50000;;;;;;;;;;;
119;;;;;;;;;;;;;;<100;0,01449;;;;;;;;;;Support Vector Machine;0,00926;;;;;;;[1, 2, 3];0,00840;no;0,00870;[discrete];0,00826;;;;Tabular Data;0,01042;UniProbe;0,00926;;;;;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;;;119;;;;;;;;0,25000;;0,25000;;0,25000;0,25000;;;;;;;;;;;
120;;;;;;;;;;;;;;<50;0,01449;;;;;;;;;;Support Vector Machine;0,00926;;;;;;;[1, 2, 3];0,00840;no;0,00870;[discrete];0,00826;;;;Tabular Data;0,01042;Wine (OpenML);0,00926;<1000;0,01282;1:4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;;;120;;;;;;;;;;;0,50000;0,50000;;;;;;;;;;;;
121;;;;;;;;;;;;;;>50;0,01449;;;;;;;;;;Support Vector Machine;0,00926;;;;;;;[1, 2, 3];0,00840;no;0,00870;[discrete];0,00826;;;;Tabular Data;0,01042;Wine (OpenML);0,00926;<1000;0,01282;1:4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;;;121;;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;;;;
122;;;;;;;;;;;;;;<50;0,01449;;;;;;;;;;Random Forest;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[discrete, nominal];0,00826;;;;Tabular Data;0,01042;Hepatitis (OpenML);0,00926;<1000;0,01282;1:4;0,01316;;;;;;;Offline;0,00926;Binary Classification;0,00943;Classification;0,01136;122;;;;;;;;;;;0,50000;0,50000;;;;;;;;;;;;
123;;;;;;;;;;;;;;>50;0,01449;;;;;;;;;;Random Forest;0,00926;;;;;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[discrete, nominal];0,00826;;;;Tabular Data;0,01042;Hepatitis (OpenML);0,00926;<1000;0,01282;1:4;0,01316;;;;;;;Offline;0,00926;Binary Classification;0,00943;Classification;0,01136;123;;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;;;;
124;;;;;;yes;0,01852;;;;;;;;;<12500;0,01754;;;8;0,01190;<100000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;CIFAR-10;0,00926;1000:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;124;;;;;;;;;;;;0,50000;0,50000;;;;;;;;;;;
125;;;;;;yes;0,01852;;;;;;;;;12500:31250;0,01754;;;8;0,01190;100000:250000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;CIFAR-10;0,00926;1000:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;125;;;;;;;;;;;;1,00000;;;;;;;;;;;;
126;;;;;;yes;0,01852;;;;;;;;;>31250;0,01754;;;8;0,01190;>250000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;CIFAR-10;0,00926;1000:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;126;;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;0,05263;;only the ones that are parallelizable!;;
127;;;;;;no;0,01852;;;;;;;;;<150000;0,01754;;;1;0,01190;<150000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;CIFAR-10;0,00926;1000:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;127;;;;;;;;;;;;;;0,25000;0,25000;0,25000;;0,25000;;;;;Li2018;
128;;;;;;no;0,01852;;;;;;;;;>150000;0,01754;;;1;0,01190;>150000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;CIFAR-10;0,00926;1000:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;128;;;;;;;;;;;;;;0,25000;0,25000;0,25000;;0,25000;;;;;;
129;;;;;;no;0,01852;;;;;;;;;<30000;0,01754;;;1;0,01190;<30000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;CIFAR-10;0,00926;1000:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;129;;;;;0,25000;;;;;;;;;0,25000;0,25000;0,25000;;;;;;;;
130;;;;;;no;0,01852;;;;;;;;;30000:90000;0,01754;;;1;0,01190;30000:90000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;CIFAR-10;0,00926;1000:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;130;;;;;0,20000;;;;;;;;;0,20000;0,20000;0,20000;;0,20000;;;;;;
131;;;;;;no;0,01852;;;;;;;;;>90000;0,01754;;;1;0,01190;>90000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;CIFAR-10;0,00926;1000:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;131;;;;;0,25000;;;;;;;;;0,25000;;0,25000;;0,25000;;;;;;
132;;;;;;yes;0,01852;;;;;;;;;<2400;0,01754;;;25;0,01190;<60000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;CIFAR-10;0,00926;1000:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;132;;;;;1,00000;;;;;;;;;;;;;;;;;;;
133;;;;;;yes;0,01852;;;;;;;;;2400:3600;0,01754;;;25;0,01190;60000:90000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;CIFAR-10;0,00926;1000:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;133;;;;;;;;;;;;;;;;1,00000;;;;;;;;
134;;;;;;yes;0,01852;;;;;;;;;>3600;0,01754;;;25;0,01190;>90000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;CIFAR-10;0,00926;1000:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;134;;;;;;;;;;;;;;0,33333;;0,33333;;0,33333;;;;;;
135;;;;;;yes;0,01852;;;;;;;;;<6000;0,01754;;;25;0,01190;<150000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;CIFAR-10;0,00926;1000:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;135;;;;;0,50000;;;;;;;;;;;0,50000;;;;;;;;
136;;;;;;yes;0,01852;;;;;;;;;>6000;0,01754;;;25;0,01190;>150000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;[4, 5, 6, 7, 8, 9, 10];0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;CIFAR-10;0,00926;1000:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;136;;;;;0,50000;;;;;;;;;;;0,50000;;;;;;;;
137;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;0,05000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;137;;;;;;;;;;;;;;;;;;1,00000;;;;;Hutter2019;
138;;;;;;;;;;;;low;0,06250;;;;;;;;;<86400;0,01000;;;;no;0,05000;;;;;;;no;0,00870;[continuous];0,00826;;;;;;;;;;;;;;;;;;;;;;;;138;;;;;;;;;;1,00000;;;;;;;;;;;;;;
139;;;;;;;;;;;;;;;;;;;;;;;;;;;no;0,05000;;;;;>10;0,00840;yes;0,00870;;;;;;;;;;;;;;;;;;;;;;;;;;139;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;
140;;;;;;;;;;;;high;0,06250;;;;;;;;;>86400;0,01000;;;;yes;0,05000;;;;;;;;;[continuous];0,00826;;;;;;;;;;;;;;;;;;;;;;;;140;;;;1,00000;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;141;;;;;;;;;;;;;;;;;;;;;;;;
142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;142;;;;;;;;;;;;;;;;;;;;;;;;
143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143;;;;;;;;;;;;;;;;;;;;;;;;
144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;;;;;;;;;;;;;;;;;;;;;;;;
145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;145;;;;;;;;;;;;;;;;;;;;;;;;
146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;146;;;;;;;;;;;;;;;;;;;;;;;;
147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;147;;;;;;;;;;;;;;;;;;;;;;;;
148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;148;;;;;;;;;;;;;;;;;;;;;;;;
149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;149;;;;;;;;;;;;;;;;;;;;;;;;
150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;;;;;;;;;;;;;;;;;;;;;;;;
151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;151;;;;;;;;;;;;;;;;;;;;;;;;
152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152;;;;;;;;;;;;;;;;;;;;;;;;
153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;153;;;;;;;;;;;;;;;;;;;;;;;;
154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;154;;;;;;;;;;;;;;;;;;;;;;;;
155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;155;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;high;14;high;7;yes;30;;Predictive Maintenance;20;;large;1;high;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;low;1;medium;5;no;24;;Predictive Quality;24;;low;14;low;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;medium:high;9;;;;Process Parameter Prediction;;;;;<2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;low;1;;;;;;;;;<5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;<10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;<30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;<40;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;<50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;<100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;<200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;2:10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;2:20;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;2:50;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;5:50;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;10:100;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;10:200;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;20:200;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;30:100;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;40:100;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;50:100;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;50:200;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;100:500;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;200:1000;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;>10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;>50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;>100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;>=200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
