;;0,0667;15;0,0455;22;0,0185;54;;0,0196;51;;0,0145;69;0,0313;32;0,0119;84;0,0100;100;;0,0093;108;0,0500;20;0,0294;34;0,0303;33;0,0084;119;0,0087;115;0,0083;121;0,2000;5;;;96;0,0128;78;0,0132;76;0,0625;16;0,0714;14;0,1000;10;0,0093;108;0,0094;106;0,0114;88;;8,00;5,04;0,87;6,71;5,41;1,71;22,79;16,71;20,57;2,16;9,12;3,12;2,24;7,69;4,24;3,66;16,27;2,70;;;;
66;;;;;;yes;0,01852;;;;;2.0:20;0,01449;720;0,03125;2;0,01190;2880.0:28800;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;66;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;
67;;;;;;yes;0,01852;;;;;20.0:200;0,01449;720;0,03125;2;0,01190;28800.0:288000;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;67;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;
68;;;;;;yes;0,01852;;;;;<10;0,01449;720;0,03125;2;0,01190;<14400;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;68;;;;;;;1,00000;;;;;;;;;;;;;;;
69;;;;;;yes;0,01852;;;;;10.0:100;0,01449;720;0,03125;2;0,01190;14400.0:144000;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;69;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;
70;;;;;;yes;0,01852;;;;;100.0:500;0,01449;720;0,03125;2;0,01190;14400.0:720000;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;70;;;;;;;1,00000;;;;;;;;;;;;;;;
71;;;;;;yes;0,01852;;;;;<2;0,01449;720;0,03125;2;0,01190;<2880;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;71;;;;;;;1,00000;;;;;;;;;;;;;;;
72;;;;;;yes;0,01852;;;;;2.0:50;0,01449;720;0,03125;2;0,01190;2880.0:72000;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;72;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;
73;;;;;;yes;0,01852;;;;;50.0:200;0,01449;720;0,03125;2;0,01190;72000.0:288000;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;73;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;
74;;;;;;yes;0,01852;;;;;<5;0,01449;720;0,03125;2;0,01190;<7200;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;74;;;;;;;1,00000;;;;;;;;;;;;;;;
75;;;;;;yes;0,01852;;;;;5.0:50;0,01449;720;0,03125;2;0,01190;7200.0:72000;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;75;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;
76;;;;;;yes;0,01852;;;;;50.0:500;0,01449;720;0,03125;2;0,01190;72000.0:720000;0,01000;;Multilayer Perceptron;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;76;;;;;;;1,00000;;;;;;;;;;;;;;;
77;;;;;;;;;;;;<5;0,01449;;;;;;;;Deep Neural Net;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;77;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;
78;;;;;;;;;;;;2.0:50;0,01449;;;;;;;;Deep Neural Net;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;78;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;
79;;;;;;;;;;;;50.0:200;0,01449;;;;;;;;Deep Neural Net;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;79;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;
80;;;;;;;;;;;;<10;0,01449;;;;;;;;Deep Neural Net;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;80;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;
81;;;;;;;;;;;;10.0:200;0,01449;;;;;;;;Deep Neural Net;0,00926;;;;;yes;0,03030;>10;0,00840;yes;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;<1;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;81;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;
82;;;;;;;;;;;;;;;;1;0,01190;<10;0,01000;;Support Vector Machine;0,00926;;;;;;;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;Image Data;0,01042;;;;;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;82;;;;;;;;;;;;;;0,33333;;0,33333;0,33333;;;;Falkner2018;
83;;;;;;;;;;;;;;;;1;0,01190;0,444444444;0,01000;;Support Vector Machine;0,00926;;;;;;;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;Image Data;0,01042;;;;;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;83;;;;;;;;;;;;;;;;1,00000;;;;;;
84;;;;;;;;;;;;;;;;1;0,01190;40.0:100;0,01000;;Support Vector Machine;0,00926;;;;;;;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;Image Data;0,01042;;;;;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;84;;;;;;;;;;;;;;0,50000;;0,50000;;;;;;
85;;;;;;;;;;;;;;;;1;0,01190;100.0:400;0,01000;;Support Vector Machine;0,00926;;;;;;;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;Image Data;0,01042;;;;;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;85;;;;;;;;;;;;;;0,33333;;0,33333;0,33333;;;;;
86;;;;;;;;;;;;;;;;1;0,01190;400.0:50000;0,01000;;Support Vector Machine;0,00926;;;;;;;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;Image Data;0,01042;;;;;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;86;;;;;;;;;;0,25000;;;;0,25000;;0,25000;0,25000;;;;;
87;;;;;;;;;;;;;;;;1;0,01190;50000.0:500000;0,01000;;Support Vector Machine;0,00926;;;;;;;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;Image Data;0,01042;;;;;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;87;;;;;;;;;0,20000;0,20000;;;;0,20000;;0,20000;0,20000;;;;;
88;;;;;;;;;;;;;;;;1;0,01190;>500000;0,01000;;Support Vector Machine;0,00926;;;;;;;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;Image Data;0,01042;;;;;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;88;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;
89;;;;;;;;;;;;;;;;1;0,01190;<4000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;;;;;;;;;;;Offline;0,00926;Binary Classification;0,00943;;;89;;;;;;;;;;;;;;0,33333;;;0,33333;0,33333;;;;
90;;;;;;;;;;;;;;;;1;0,01190;4000.0:100000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;;;;;;;;;;;Offline;0,00926;Binary Classification;0,00943;;;90;;;;;;;;;;;;;;;;;1,00000;;;;;
91;;;;;;;;;;;;;;;;1;0,01190;<10000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;;;;;;;;;;;Offline;0,00926;Binary Classification;0,00943;;;91;;;;;;;;;;;;;;0,33333;;;0,33333;0,33333;;;;
92;;;;;;;;;;;;;;;;1;0,01190;10000.0:100000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;;;;;;;;;;;Offline;0,00926;Binary Classification;0,00943;;;92;;;;;;;;;;;;;;;;;1,00000;;;;;
93;;;;;;;;;;;;;;;;1;0,01190;<100;0,01000;;Multilayer Perceptron;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;93;;;;;;;;;;;;;;0,33333;;;0,33333;0,33333;;;;
94;;;;;;;;;;;;;;;;1;0,01190;100.0:2000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;94;;;;;;;;;;;;;;;;;1,00000;;;;;
95;;;;;;;;;;;;;;;;1;0,01190;2000.0:20000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;95;;;;;;;;;0,50000;;;;;;;;0,50000;;;;;
96;;;;;;;;;;;;;;;;1;0,01190;20000.0:40000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;96;;;;;;;;0,33333;0,33333;;;;;;;;0,33333;;;;;
97;;;;;;;;;;;;;;;;1;0,01190;<4000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;97;;;;;;;;;;;;;;0,50000;;;0,50000;;;;;
98;;;;;;;;;;;;;;;;1;0,01190;4000.0:100000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;98;;;;;;;;0,33333;0,33333;;;;;;;;0,33333;;;;;
99;;;;;;;;;;;;;;;;1;0,01190;<1000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;99;;;;;;;;;;;;;;0,33333;;;0,33333;0,33333;;;;
100;;;;;;;;;;;;;;;;1;0,01190;1000.0:10000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;100;;;;;;;;;;;;;;;;;1,00000;;;;;
101;;;;;;;;;;;;;;;;1;0,01190;<1000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;;;;;;;;;;;Offline;0,00926;Binary Classification;0,00943;;;101;;;;;;;;;;;;;;0,33000;;;0,33000;0,33000;;;;
102;;;;;;;;;;;;;;;;1;0,01190;1000.0:100000;0,01000;;Multilayer Perceptron;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Tabular Data;0,01042;;;;;;;;;;;Offline;0,00926;Binary Classification;0,00943;;;102;;;;;;;;;;;;;;;;;1,00000;;;;;
103;;;;;;;;;;;;<100;0,01449;;;;;;;;Support Vector Machine;0,00926;;;;;;;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;;;;;;;;;;;no;0,10000;Offline;0,00926;Multiclass Classification;0,00943;;;103;;;;;;;;;1,00000;;;;;;;;;;;;Klein2019;
104;;;;;;;;;;;;<40;0,01449;;;;;;;;Support Vector Machine;0,00926;;;;;;;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;;;;;;;;;;;yes;0,10000;Offline;0,00926;Multiclass Classification;0,00943;;;104;;;;;;;;;1,00000;;;;;;;;;;;;;
105;;;;;;;;;;;;40.0:100;0,01449;;;;;;;;Support Vector Machine;0,00926;;;;;;;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;;;;;;;;;;;yes;0,10000;Offline;0,00926;Multiclass Classification;0,00943;;;105;;;;;;;;;;;1,00000;;;;;;;;;;;
106;;;;;;;;;;;;<50;0,01449;;;;;;;;Multilayer Perceptron;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;;;;;;;;;;;no;0,10000;Offline;0,00926;Multiclass Classification;0,00943;;;106;;;;;;;;;;;1,00000;;;;;;;;;;;
107;;;;;;;;;;;;50.0:100;0,01449;;;;;;;;Multilayer Perceptron;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;;;;;;;;;;;no;0,10000;Offline;0,00926;Multiclass Classification;0,00943;;;107;;;;;;;;;1,00000;;;;;;;;;;;;;
108;;;;;;;;;;;;<100;0,01449;;;;;;;;Multilayer Perceptron;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;;;;;;;;;;;yes;0,10000;Offline;0,00926;Multiclass Classification;0,00943;;;108;;;;;;;;;;;1,00000;;;;;;;;;;;
109;;;;;;;;;;;;<30;0,01449;;;;;;;;XGBoost;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;;;;;;;;;;;no;0,10000;Offline;0,00926;Regression;0,00943;;;109;;;;;;;;;;;1,00000;;;;;;;;;;;
110;;;;;;;;;;;;30.0:100;0,01449;;;;;;;;XGBoost;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;;;;;;;;;;;no;0,10000;Offline;0,00926;Regression;0,00943;;;110;;;;;;;;;1,00000;;;;;;;;;;;;;
111;;;;;;;;;;;;<30;0,01449;;;;;;;;XGBoost;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;;;;;;;;;;;yes;0,10000;Offline;0,00926;Regression;0,00943;;;111;;;;;;;;;;;1,00000;;;;;;;;;;;
112;;;;;;;;;;;;30.0:100;0,01449;;;;;;;;XGBoost;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;;;;;;;;;;;yes;0,10000;Offline;0,00926;Regression;0,00943;;;112;;;;;;;;;1,00000;;;;;;;;;;;;;
113;;;;;;yes;0,01852;;;;;<200;0,01449;1800;0,03125;17;0,01190;<360000;0,01000;;Convolutional Neural Net;0,00926;;;;;;;>10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;113;;;;;;;;1,00000;;;;;;;;;;;;;Loshchilov2016;
114;;;;;;yes;0,01852;;;;;200.0:1000;0,01449;1800;0,03125;17;0,01190;360000.0:1800000;0,01000;;Convolutional Neural Net;0,00926;;;;;;;>10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;114;;;;1,00000;;;;;;;;;;;;;;;;;;
115;;;;;;;;;;;;<200;0,01449;;;;;;;;Synthetic Function;0,00926;;;;;;;1.0:3;0,00840;no;0,00870;[continuous];0,00826;;;;;;;;;;;;;;;;Offline;0,00926;;;Synthetic Function;0,01136;115;;;;;;;;;0,33333;;0,33333;0,33333;;;;;;;;;Springenberg2016;
116;;;;;;;;;;;;<200;0,01449;;;;;;;;Synthetic Function;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous];0,00826;;;;;;;;;;;;;;;;Offline;0,00926;;;Synthetic Function;0,01136;116;;;;;;;;;0,33333;;0,33333;0,33333;;;;;;;;;;
117;;;;;;;;;;;;<100;0,01449;;;;;;;;Logistic Regression;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[continuous];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;117;;;;;;;;;0,50000;;;0,50000;;;;;;;;;;
118;;;;;;;;;;;;<50;0,01449;;;;;;;;Latent Dirichlet Allocation (HPOlib);0,00926;;;;;;;1.0:3;0,00840;no;0,00870;[discrete];0,00826;;;;Text Data;0,01042;;;;;;;;;;;Offline;0,00926;Text;0,00943;;;118;;;;;;;;;0,50000;;;0,50000;;;;;;;;;;
119;;;;;;;;;;;;<100;0,01449;;;;;;;;Support Vector Machine;0,00926;;;;;;;1.0:3;0,00840;no;0,00870;[discrete];0,00826;;;;Tabular Data;0,01042;;;;;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;;;119;;;;;;;0,25000;;0,25000;;0,25000;0,25000;;;;;;;;;;
120;;;;;;;;;;;;<50;0,01449;;;;;;;;Support Vector Machine;0,00926;;;;;;;1.0:3;0,00840;no;0,00870;[discrete];0,00826;;;;Tabular Data;0,01042;<1000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;;;120;;;;;;;;;;0,50000;0,50000;;;;;;;;;;;
121;;;;;;;;;;;;>50;0,01449;;;;;;;;Support Vector Machine;0,00926;;;;;;;1.0:3;0,00840;no;0,00870;[discrete];0,00826;;;;Tabular Data;0,01042;<1000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;;;121;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;;;
122;;;;;;;;;;;;<50;0,01449;;;;;;;;Random Forest;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[discrete, nominal];0,00826;;;;Tabular Data;0,01042;<1000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Binary Classification;0,00943;Classification;0,01136;122;;;;;;;;;;0,50000;0,50000;;;;;;;;;;;
123;;;;;;;;;;;;>50;0,01449;;;;;;;;Random Forest;0,00926;;;;;;;4.0:10;0,00840;no;0,00870;[discrete, nominal];0,00826;;;;Tabular Data;0,01042;<1000;0,01282;1.0:4;0,01316;;;;;;;Offline;0,00926;Binary Classification;0,00943;Classification;0,01136;123;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;;;
124;;;;;;yes;0,01852;;;;;;;;;8;0,01190;<100000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;4.0:10;0,00840;no;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;124;;;;;;;;;;;0,50000;0,50000;;;;;;;;;;
125;;;;;;yes;0,01852;;;;;;;;;8;0,01190;100000.0:250000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;4.0:10;0,00840;no;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;125;;;;;;;;;;;1,00000;;;;;;;;;;;
126;;;;;;yes;0,01852;;;;;;;;;8;0,01190;>250000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;4.0:10;0,00840;no;0,00870;[continuous, discrete, nominal];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;126;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;only the ones that are parallelizable!;;
127;;;;;;no;0,01852;;;;;;;;;1;0,01190;<150000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;127;;;;;;;;;;;;;0,25000;0,25000;0,25000;;0,25000;;;;Li2018;
128;;;;;;no;0,01852;;;;;;;;;1;0,01190;>150000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;128;;;;;;;;;;;;;0,25000;0,25000;0,25000;;0,25000;;;;;
129;;;;;;no;0,01852;;;;;;;;;1;0,01190;<30000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;129;;;;;0,25000;;;;;;;;0,25000;0,25000;0,25000;;;;;;;
130;;;;;;no;0,01852;;;;;;;;;1;0,01190;30000.0:90000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;130;;;;;0,20000;;;;;;;;0,20000;0,20000;0,20000;;0,20000;;;;;
131;;;;;;no;0,01852;;;;;;;;;1;0,01190;>90000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;131;;;;;0,25000;;;;;;;;0,25000;;0,25000;;0,25000;;;;;
132;;;;;;yes;0,01852;;;;;;;;;25;0,01190;<60000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;132;;;;;1,00000;;;;;;;;;;;;;;;;;
133;;;;;;yes;0,01852;;;;;;;;;25;0,01190;60000.0:90000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;133;;;;;;;;;;;;;;;1,00000;;;;;;;
134;;;;;;yes;0,01852;;;;;;;;;25;0,01190;>90000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;134;;;;;;;;;;;;;0,33333;;0,33333;;0,33333;;;;;
135;;;;;;yes;0,01852;;;;;;;;;25;0,01190;<150000;0,01000;;Convolutional Neural Net;0,00926;;;yes;0,02941;;;4.0:10;0,00840;no;0,00870;[continuous, discrete];0,00826;;;;Image Data;0,01042;1000.0:100000;0,01282;>4;0,01316;;;;;;;Offline;0,00926;Multiclass Classification;0,00943;Image Recognition;0,01136;135;;;;;0,50000;;;;;;;;;;0,50000;;;;;;;
